Senioridade,Área funcional,Porte da organização,Setor de atuação,Tempo de iniciativa formal,Maturidade: integração e consolidação de dados,Maturidade: governança e curadoria de dados,Maturidade: gestão da qualidade de dados,Maturidade: segurança e conformidade de dados,Maturidade: acessibilidade e democratização de dados,Maturidade: gestão e catalogação de metadados,Maturidade: operacionalização de IA/ML,Maturidade: analytics de autoatendimento,Maturidade: gestão de produtos de dados,Arquitetura da plataforma de dados,Modelo operacional da organização de dados,Preparação para IA Generativa,Tendência do investimento,Direcionador estratégico do investimento,Definição de prioridades,Estimativa de investimento anual,Importância: valor de negócio esperado,Importância: conformidade regulatória,Importância: potencial de redução de custos,Importância: habilitação de IA/analytics,Importância: patrocínio executivo,Importância: viabilidade técnica,Importância: melhoria da qualidade dos dados,Importância: urgência das áreas de negócio,Importância: otimização de nuvem/infraestrutura,Importância: necessidades de governança e padronização,Percepção de ROI,Alinhamento entre expectativa e valor entregue,Desafio: técnico,Desafio: relacionado aos dados,Desafio: financeiro,Desafio: processo e governança,Desafio: pessoas e cultura,Foco futuro da Data Foundation
Analista / Especialista / Engenheiro,Finanças,Mais de 10.000 funcionários,Biotecnologia,Mais de 5 anos,Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),,,,Estável,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",Não sei / não informado,3 (Neutro),Alto (4–5),Alto (4–5),Alto (4–5),3 (Neutro),Alto (4–5),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Concordo totalmente,Superou as expectativas,Neutro (3),Neutro (3),Neutro (3),Neutro (3),Neutro (3),Ampliação da integração de dados
VP / Executivo C-level,RH,Mais de 10.000 funcionários,Saúde / Farmacêutico,De 3 a 5 anos,Neutro (3),Baixo (1–2),Baixo (1–2),Neutro (3),Neutro (3),Neutro (3),Neutro (3),Alto (4–5),Baixo (1–2),Data Mesh,Data mesh / orientado a domínios,Neutro (3),Crescimento leve,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",Mais de €10 milhões,4 (Muito importante),Alto (4–5),Neutro (3),Alto (4–5),3 (Neutro),Alto (4–5),Alto (4–5),Neutro (3),Neutro (3),Alto (4–5),Concordo,Amplamente alinhado,Alto (4–5),Neutro (3),Neutro (3),Alto (4–5),Alto (4–5),Suporte a plataformas de IA Generativa
Gerente / Gerente sênior,Marketing e vendas,Até 500 funcionários,Tecnologia / Software,De 3 a 5 anos,Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Neutro (3),Neutro (3),Alto (4–5),Alto (4–5),Alto (4–5),Data Lakehouse,Modelo híbrido,Alto (4–5),Crescimento significativo,Ofensivo (criação de novo valor),Comitê diretivo multifuncional,De €100 mil a €500 mil,5 (Extremamente importante),Alto (4–5),Alto (4–5),Alto (4–5),4 (Muito importante),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Concordo totalmente,Amplamente alinhado,Neutro (3),Neutro (3),Alto (4–5),Alto (4–5),Neutro (3),Fortalecimento da governança e da qualidade
Líder de equipe / Coordenador,Dados e analytics,Mais de 10.000 funcionários,Saúde / Farmacêutico,De 3 a 5 anos,Alto (4–5),Baixo (1–2),Baixo (1–2),Alto (4–5),Neutro (3),Baixo (1–2),Baixo (1–2),Baixo (1–2),Neutro (3),Data Mesh,Data mesh / orientado a domínios,Neutro (3),Crescimento leve,Equilibrado (ofensivo + defensivo),Sem processo formal,De €500 mil a €2 milhões,5 (Extremamente importante),Alto (4–5),Alto (4–5),Alto (4–5),5 (Extremamente importante),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Neutro,Amplamente alinhado,Neutro (3),Neutro (3),Neutro (3),Alto (4–5),Alto (4–5),Fortalecimento da governança e da qualidade
Gerente / Gerente sênior,Serviços digitais,Até 500 funcionários,Saúde / Farmacêutico,Mais de 5 anos,Neutro (3),Neutro (3),Baixo (1–2),Baixo (1–2),Neutro (3),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Data Lakehouse,Equipe de dados centralizada,Baixo (1–2),Crescimento significativo,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",De €100 mil a €500 mil,5 (Extremamente importante),Alto (4–5),Alto (4–5),Neutro (3),5 (Extremamente importante),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Concordo totalmente,Amplamente alinhado,Neutro (3),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Melhoria do autosserviço analítico
Analista / Especialista / Engenheiro,Marketing e vendas,Mais de 10.000 funcionários,Tecnologia / Software,Mais de 5 anos,Neutro (3),Baixo (1–2),Neutro (3),Alto (4–5),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Arquitetura híbrida,Modelo híbrido,Neutro (3),Crescimento leve,Equilibrado (ofensivo + defensivo),Comitê diretivo multifuncional,De €2 milhões a €10 milhões,5 (Extremamente importante),Alto (4–5),Alto (4–5),Neutro (3),4 (Muito importante),Alto (4–5),Neutro (3),Alto (4–5),Neutro (3),Neutro (3),Concordo totalmente,Amplamente alinhado,Baixo (1–2),Alto (4–5),Baixo (1–2),Alto (4–5),Alto (4–5),Ampliação da integração de dados
Gerente / Gerente sênior,Dados e analytics,De 501 a 2.000 funcionários,Tecnologia / Software,De 1 a 3 anos,Neutro (3),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Neutro (3),Baixo (1–2),Neutro (3),Baixo (1–2),Data Lake,Modelo híbrido,Neutro (3),Crescimento significativo,Equilibrado (ofensivo + defensivo),Comitê diretivo multifuncional,De €500 mil a €2 milhões,5 (Extremamente importante),Alto (4–5),Neutro (3),Alto (4–5),4 (Muito importante),Neutro (3),Alto (4–5),Baixo (1–2),Alto (4–5),Alto (4–5),Discordo totalmente,Amplamente alinhado,Alto (4–5),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Ampliação da integração de dados
Analista / Especialista / Engenheiro,TI / Infraestrutura,Mais de 10.000 funcionários,Saúde / Farmacêutico,Mais de 5 anos,Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Arquitetura híbrida,Modelo híbrido,Alto (4–5),Crescimento significativo,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",Não sei / não informado,5 (Extremamente importante),Alto (4–5),Alto (4–5),Alto (4–5),3 (Neutro),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Concordo totalmente,Amplamente alinhado,Alto (4–5),Neutro (3),Neutro (3),Neutro (3),Alto (4–5),Suporte a plataformas de IA Generativa
Analista / Especialista / Engenheiro,Dados e analytics,De 2.001 a 10.000 funcionários,Serviços financeiros / Seguros,Mais de 5 anos,Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Data Warehouse tradicional,Predominantemente descentralizado,Baixo (1–2),Crescimento leve,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",De €2 milhões a €10 milhões,5 (Extremamente importante),Alto (4–5),Neutro (3),Baixo (1–2),3 (Neutro),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Neutro,Amplamente alinhado,Neutro (3),Neutro (3),Neutro (3),Neutro (3),Neutro (3),Ampliação da integração de dados
Analista / Especialista / Engenheiro,Finanças,Até 500 funcionários,Serviços financeiros / Seguros,Mais de 5 anos,Neutro (3),Neutro (3),Neutro (3),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Data Warehouse tradicional,Modelo federado,Neutro (3),Crescimento significativo,Equilibrado (ofensivo + defensivo),Por unidades de negócio,De €500 mil a €2 milhões,4 (Muito importante),Alto (4–5),Baixo (1–2),Alto (4–5),3 (Neutro),Neutro (3),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Concordo,Amplamente alinhado,Neutro (3),Neutro (3),Neutro (3),Alto (4–5),Neutro (3),Ampliação da integração de dados
Gerente / Gerente sênior,Dados e analytics,Mais de 10.000 funcionários,Consultoria / Serviços profissionais,De 1 a 3 anos,Alto (4–5),Neutro (3),Neutro (3),Alto (4–5),Neutro (3),Neutro (3),Baixo (1–2),Neutro (3),Alto (4–5),Data Mesh,Data mesh / orientado a domínios,Neutro (3),Crescimento significativo,Defensivo (redução de risco e custo),"Centralmente, por equipe dedicada",De €500 mil a €2 milhões,4 (Muito importante),Alto (4–5),Neutro (3),Alto (4–5),5 (Extremamente importante),Alto (4–5),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Neutro,Amplamente alinhado,Alto (4–5),Alto (4–5),Baixo (1–2),Neutro (3),Neutro (3),Otimização dos custos de infraestrutura
Diretor / Head de departamento,Dados e analytics,Mais de 10.000 funcionários,Bens de consumo embalados [CPG],Mais de 5 anos,Baixo (1–2),Baixo (1–2),Baixo (1–2),Neutro (3),Neutro (3),Neutro (3),Baixo (1–2),Baixo (1–2),Neutro (3),Data Lakehouse,Equipe de dados centralizada,Neutro (3),Crescimento leve,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",De €500 mil a €2 milhões,4 (Muito importante),Alto (4–5),Neutro (3),Alto (4–5),4 (Muito importante),Alto (4–5),Alto (4–5),Neutro (3),Baixo (1–2),Neutro (3),Concordo totalmente,Amplamente alinhado,Neutro (3),Neutro (3),Alto (4–5),Neutro (3),Alto (4–5),Melhoria do autosserviço analítico
Gerente / Gerente sênior,TI / Infraestrutura,De 2.001 a 10.000 funcionários,Tecnologia / Software,De 3 a 5 anos,Neutro (3),Baixo (1–2),Baixo (1–2),Alto (4–5),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Alto (4–5),Data Mesh,Data mesh / orientado a domínios,Baixo (1–2),Crescimento leve,Equilibrado (ofensivo + defensivo),Comitê diretivo multifuncional,De €2 milhões a €10 milhões,4 (Muito importante),Alto (4–5),,Alto (4–5),5 (Extremamente importante),Baixo (1–2),Baixo (1–2),Alto (4–5),Baixo (1–2),Baixo (1–2),Discordo,Significativamente abaixo,Baixo (1–2),Baixo (1–2),Alto (4–5),Alto (4–5),Alto (4–5),Fortalecimento da governança e da qualidade
Gerente / Gerente sênior,Dados e analytics,Mais de 10.000 funcionários,Saúde / Farmacêutico,De 3 a 5 anos,Alto (4–5),Alto (4–5),Neutro (3),Neutro (3),Neutro (3),Baixo (1–2),Neutro (3),Baixo (1–2),Neutro (3),Data Mesh,Modelo federado,Neutro (3),Estável,Ofensivo (criação de novo valor),"Ad hoc, por demandas urgentes",Mais de €10 milhões,5 (Extremamente importante),Alto (4–5),Alto (4–5),Neutro (3),3 (Neutro),Alto (4–5),Neutro (3),Alto (4–5),Neutro (3),Neutro (3),Neutro,Um pouco abaixo,Neutro (3),Alto (4–5),Alto (4–5),Neutro (3),Alto (4–5),Suporte a plataformas de IA Generativa
Analista / Especialista / Engenheiro,Finanças,De 501 a 2.000 funcionários,Bens de consumo embalados [CPG],De 3 a 5 anos,Baixo (1–2),Baixo (1–2),Baixo (1–2),Neutro (3),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Data Lake,Data mesh / orientado a domínios,Baixo (1–2),Estável,Equilibrado (ofensivo + defensivo),"Ad hoc, por demandas urgentes",De €500 mil a €2 milhões,4 (Muito importante),Alto (4–5),Neutro (3),Baixo (1–2),4 (Muito importante),Alto (4–5),Neutro (3),Alto (4–5),Neutro (3),Alto (4–5),Discordo,Significativamente abaixo,Alto (4–5),Alto (4–5),Neutro (3),Neutro (3),Alto (4–5),Suporte a plataformas de IA Generativa
Diretor / Head de departamento,Dados e analytics,Mais de 10.000 funcionários,Manufatura / Industrial,De 1 a 3 anos,Neutro (3),Alto (4–5),Baixo (1–2),Alto (4–5),Neutro (3),Alto (4–5),Alto (4–5),Neutro (3),Alto (4–5),Data Mesh,Data mesh / orientado a domínios,Neutro (3),Crescimento leve,Equilibrado (ofensivo + defensivo),Por unidades de negócio,Não sei / não informado,4 (Muito importante),Neutro (3),Alto (4–5),Alto (4–5),3 (Neutro),Baixo (1–2),Baixo (1–2),Neutro (3),Baixo (1–2),Alto (4–5),Concordo,Amplamente alinhado,,,,,,
Analista / Especialista / Engenheiro,Dados e analytics,Mais de 10.000 funcionários,Saúde / Farmacêutico,Mais de 5 anos,Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Arquitetura híbrida,Modelo híbrido,Alto (4–5),Crescimento significativo,Equilibrado (ofensivo + defensivo),"Ad hoc, por demandas urgentes",Mais de €10 milhões,5 (Extremamente importante),Alto (4–5),Alto (4–5),Alto (4–5),5 (Extremamente importante),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Concordo totalmente,Amplamente alinhado,Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Fortalecimento da governança e da qualidade
Analista / Especialista / Engenheiro,Dados e analytics,Mais de 10.000 funcionários,Bens de consumo embalados [CPG],Mais de 5 anos,Baixo (1–2),Baixo (1–2),Baixo (1–2),Alto (4–5),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Baixo (1–2),Data Lakehouse,Equipe de dados centralizada,Baixo (1–2),Crescimento leve,Equilibrado (ofensivo + defensivo),"Ad hoc, por demandas urgentes",De €500 mil a €2 milhões,4 (Muito importante),Alto (4–5),Baixo (1–2),Alto (4–5),3 (Neutro),Neutro (3),Alto (4–5),Alto (4–5),Baixo (1–2),Baixo (1–2),Concordo,Um pouco abaixo,Baixo (1–2),Alto (4–5),Alto (4–5),Alto (4–5),Alto (4–5),Fortalecimento da governança e da qualidade
